Date,Team,Team Location,Team Score,Opponent,Opponent Score,Opponent Location,Neutral Site,Team Result,Team Margin,Team Differential,Opponent Differential,Game Type
11/13/2015,Jackson State,Away,52,Oregon,80,Home,,Loss,-28,3.21,9.71,Division 1
11/13/2015,Oregon,Home,80,Jackson State,52,Away,,Win,28,9.71,3.21,Division 1
11/13/2015,Missouri State,Away,65,Oral Roberts,80,Home,,Loss,-15,-5.25,-0.90,Division 1
11/13/2015,Oral Roberts,Home,80,Missouri State,65,Away,,Win,15,-0.90,-5.25,Division 1
11/13/2015,Pennsylvania,Home,76,Robert Morris,75,Away,,Win,1,-3.64,-5.78,Division 1
11/13/2015,Portland,Home,98,Oregon Tech,81,Away,,Win,17,-2.16,0.00,Non Division 1
11/13/2015,North Carolina A&T,Away,40,Purdue,81,Home,,Loss,-41,-8.25,13.15,Division 1
11/13/2015,Robert Morris,Away,75,Pennsylvania,76,Home,,Loss,-1,-5.78,-3.64,Division 1
11/13/2015,Oregon Tech,Away,81,Portland,98,Home,,Loss,-17,0.00,-2.16,Non Division 1
11/13/2015,Old Dominion,Neutral,67,Niagara,50,,Neutral Site,Win,17,6.66,-7.55,Division 1
11/13/2015,Massachusetts-Lowell,Away,57,Northwestern,79,Home,,Loss,-22,-6.21,6.03,Division 1
11/13/2015,Northwestern,Home,79,Massachusetts-Lowell,57,Away,,Win,22,6.03,-6.21,Division 1
11/13/2015,Cal State Northridge,Away,71,Northern Illinois,83,Home,,Loss,-12,-3.93,5.15,Division 1
11/13/2015,Northern Illinois,Home,83,Cal State Northridge,71,Away,,Win,12,5.15,-3.93,Division 1
11/13/2015,Notre Dame,Home,87,Saint Francis (PA),56,Away,,Win,31,5.13,-2.37,Division 1
11/13/2015,Tennessee-Martin,Away,57,Oklahoma State,91,Home,,Loss,-34,1.82,-0.63,Division 1
11/13/2015,Niagara,Neutral,50,Old Dominion,67,,Neutral Site,Loss,-17,-7.55,6.66,Division 1
11/13/2015,Saint Francis (PA),Away,56,Notre Dame,87,Home,,Loss,-31,-2.37,5.13,Division 1
11/13/2015,Oklahoma State,Home,91,Tennessee-Martin,57,Away,,Win,34,-0.63,1.82,Division 1
11/13/2015,Saint Joseph's,Home,82,Drexel,81,Away,,Win,1,7.68,-7.26,Division 1
11/13/2015,Saint Mary's (CA),Home,80,San Francisco State,56,Away,,Win,24,13.94,0.00,Non Division 1
11/13/2015,Sacred Heart,Neutral,76,Quinnipiac,64,,Neutral Site,Win,12,-3.97,-5.40,Division 1
11/13/2015,Drexel,Away,81,Saint Joseph's,82,Home,,Loss,-1,-7.26,7.68,Division 1
