Date,Opponent,Opponent Differential,Team,Team Differential,at_home,at_opp,opp_avg_Score,opp_avg_ScoreAllowed,opp_losses,opp_wins,team_avg_Score,team_avg_ScoreAllowed,team_losses,team_wins,team_won
11/11/2016,Cal Poly,-5.16,Pepperdine,-11.29,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Pittsburgh,-1.82,Eastern Michigan,4.76,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Albany (NY),5.85,Penn State,-1.0,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,UC-Riverside,-4.17,Portland,-5.09,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Presbyterian,-13.63,Furman,8.13,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Old Dominion,3.29,James Madison,-3.18,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Oklahoma State,7.5,Campbell,0.79,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Prairie View,-4.33,Oregon State,-9.38,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Oregon,14.06,Army,-0.5,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Ball State,3.58,Saint Louis,-7.94,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,Saint Mary's (CA),15.5,Nevada,9.03,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Molloy,0.0,Rutgers,-1.58,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,San Diego,-5.97,San Diego State,5.94,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,San Francisco,4.66,Illinois-Chicago,-0.15,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Pennsylvania,0.86,Robert Morris,-3.42,1,0,0,0,0,0,0,0,0,0,0
11/11/2016,McNeese State,-8.59,Purdue,12.97,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Rhode Island,8.48,Dartmouth,-7.7,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Richmond,2.59,Virginia Military Institute,-9.63,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Bowling Green State,-3.06,Oakland,8.72,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Arizona Christian,0.0,New Mexico State,11.7,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,LaGrange,0.0,New Orleans,3.77,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,New Mexico,0.97,Idaho State,-10.39,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Sarah Lawrence,0.0,NJIT,-2.23,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Greensboro,0.0,North Carolina A&T,-11.84,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Niagara,-3.97,Buffalo,3.47,0,1,0,0,0,0,0,0,0,0,1
11/11/2016,Lesley,0.0,New Hampshire,5.03,1,0,0,0,0,0,0,0,0,0,1
11/11/2016,Murray State,2.91,Illinois State,7.85,0,1,0,0,0,0,0,0,0,0,0
11/11/2016,Drexel,-3.47,Monmouth,8.03,1,0,0,0,0,0,0,0,0,0,1
